216,629,2818-156,9.810,Ton,,2550.00,,778.00,,,,
217,633,16784-60,560.000,Pcs,,4.74,,218.00,,,,
218,634,16781-60,3045.000,Pcs,,5.70,,265.00,,,,
219,635,16878-60,1260.000,Pcs,,8.65,,411.00,,,,
220,638,25655-60,2000.000,Pcs,,10.76,,519.00,,,,
221,639,25656-60,2472.000,Pcs,,7.89,,382.00,,,,
222,641,16887-156,1000.000,Kgs,,32.70,,9622.00,9412.00,,2026-06-26,72.0
223,643,2944-147,27.000,MT,,527.07,,171.00,,,,
224,644,2944-147,27.000,MT,,527.07,,171.00,,,,
225,645,27331-60,6.000,Pcs,,900.00,,393090.00,,,,
226,646,12328-60,4000.000,Kgs,,1.56,,611.00,,,,
227,647,23560-60,5.000,Ton,,2840.00,,866.00,,,,
228,648,27198-60,2.000,Pcs,,3594.69,,1154889.00,,,,
229,649,27199-60,2.000,Pcs,,5294.97,,1696940.00,,,,
230,650,27200-60,2.000,Pcs,,1396.88,,415692.00,,,,
231,651,2944-147,27.000,Ton,,527.00,,170.00,,,,
232,652,13897-60,40.000,Pcs,,1400.00,,72758.00,,,,
233,653,13898-60,28.000,Pcs,,710.00,,37241.00,,,,
234,654,13893-60,20.000,Pcs,,1360.00,,70448.00,,,,
235,655,13894-60,14.000,Pcs,,690.00,,36239.00,,,,
236,656,13895-60,40.000,Pcs,,1080.00,,56307.00,,,,
237,657,13896-60,28.000,Pcs,,580.00,,30653.00,,,,
238,658,2944-147,27.000,Ton,,528.33,,170.00,,,,
239,660,13940-60,500.000,Pcs,,6.83,,2224.00,,,,
240,661,13940-60,500.000,Pcs,,4.73,,1547.00,,,,
241,662,23558-60,6.000,Ton,,1210.00,,426.00,,,,
242,672,19487-60,5.000,Pcs,,55000.00,,,,,,
243,682,2944-147,27.000,Ton,,528.37,,171.00,,,,
244,683,2944-147,27.000,Ton,,528.37,,171.00,,,,
245,687,19766-60,27.000,Ton,,610.00,,201.00,192.00,,2026-06-12,73.0
246,689,19572-60,300.000,Pcs,,83.00,,3423.00,3478.00,,,
247,690,19571-60,1000.000,Pcs,,83.00,,3423.00,3478.00,,,
248,691,24370-60,1.000,Ton,,6000.00,,359.00,301.00,,,
249,692,24369-60,1000.000,Pcs,,19.00,,1016.00,966.00,,,
250,693,2944-147,27.000,Ton,,540.37,,175.00,170.00,,,
251,694,23558-60,6.000,Ton,,1015.50,,365.00,326.00,,,
252,695,19678-60,1200.000,Pcs,,1.22,,,,,,
253,696,12576-60,216.000,Pcs,,4.35,,,,,,
254,697,16681-60,15.000,Pcs,,47.62,,,,,,
255,699,1610-60,15.000,Pcs,,94.00,,31212.00,31448.00,,,
256,700,24573-60,2000.000,Kg,,3.80,,1424.00,1339.00,,,
257,707,2944-147,1.000,Ton,,655.00,,270.00,290.00,,,
258,708,26368-125,144.000,Pcs,,4.05,,,1467.00,,,
259,709,26368-125,320.000,Pcs,,4.53,,,1640.00,,,
260,710,26368-125,32.000,Pcs,,3.74,,,1361.00,,,
261,711,26368-125,96.000,Pcs,,8.87,,,3206.00,,,
262,712,26368-125,96.000,Pcs,,12.07,,,4362.00,,,
263,713,26368-125,384.000,Pcs,,6.04,,,2186.00,,,
264,716,19969-60,60.073,Ton,,440.00,,152.00,,,,
265,717,19969-60,206.133,Ton,,440.00,,152.00,,,,
266,718,19969-60,102.977,Ton,,440.00,,152.00,,,,
267,719,2847-60,12000.000,Kg,,0.16,,60.00,,,,
268,720,24031-60,72.000,Pcs,,15.43,,5454.00,,,,
269,721,25556-60,64.000,Pcs,,26.41,,9082.00,,,,
270,722,12566-60,3240.000,Pcs,,1.42,,509.00,,,,
271,723,22496-60,720.000,Pcs,,2.78,,978.00,,,,
272,737,24612-60,24000.000,Kgs,,0.64,,242.00,,,,
273,757,26287-60,21.600,Ton,,770.00,,245.00,239.00,,2026-06-12,70.0
274,761,2825-156,25.000,Ton,,1045.00,,327.00,,,,
275,764,26287-60,9.600,Ton,,790.00,,254.00,247.00,,,
276,765,26486-60,5.061,Ton,,770.00,,582.00,570.00,,,
277,766,26487-60,4.980,Ton,,1920.00,,250.00,241.00,,,
